REAL SALARIES,,,,,COLA-ADJUSTED SALARIES,,,,
School,all_fac_2020,full_2020,assoc_2020,assist_2020,School,all_fac_2020,full_2020,assoc_2020,assist_2020
Amherst,"115,573","155,833","110,986","93,329",Amherst,"125,628","142,275","101,330","85,859"
Bates,"101,539","134,487","105,217","85,862",Bates,"115,652","153,181","119,842","85,862"
Bowdoin,"114,601","146,857","113,680","91,352",Bowdoin,"107,266","137,458","106,405","85,506"
Carleton,"117,620","141,305","107,210","88,514",Carleton,"114,797","137,914","104,637","86,389"
Claremont McKenna,"138,183","176,098","128,042","108,670",Claremont McKenna,"47,397","60,402","43,918","37,274"
Colby,"111,341","145,971","105,841","88,084",Colby,"135,057","177,063","128,386","106,846"
Colgate,"109,417","151,654","108,479","92,464",Colgate,"126,268","175,008","125,185","106,704"
Davidson,"102,411","134,729","98,243","79,877",Davidson,"85,206","112,095","81,738","66,458"
Furman,"87,947","102,723","82,983","70,364",Furman,"97,885","114,331","92,360","78,315"
Grinnell,"109,613","139,558","105,908","87,727",Grinnell,"132,413","168,586","127,936","105,974"
Hamilton,"107,611","142,149","108,150","88,383",Hamilton,"133,976","176,976","134,647","110,037"
Haverford,"100,983","131,176","101,031","84,959",Haverford,"29,891","38,828","29,905","25,148"
Macalester,"98,937","126,583","95,133","79,775",Macalester,"100,322","128,355","96,465","80,892"
Middlebury,"112,177","140,387","104,368","90,234",Middlebury,"115,318","144,318","107,290","92,761"
Oberlin,"97,483","122,742","94,994","72,109",Oberlin,"119,806","150,850","116,748","88,623"
Pomona,"126,433","160,491","120,016","98,629",Pomona,"43,367","55,048","41,166","33,830"
Swarthmore,"123,619","156,329","111,489","87,690",Swarthmore,"108,290","136,944","97,665","76,816"
Vassar,"111,749","142,788","111,493","89,258",Vassar,"108,956","139,219","108,706","87,026"
Washington and Lee,"118,672","143,853","115,712","95,154",Washington and Lee,"135,642","164,424","132,259","108,761"
Wesleyan,"111,714","158,455","111,008","91,207",Wesleyan,"108,809","154,335","108,121","88,836"
Williams,"122,391","149,903","106,040","93,837",Williams,"121,289","148,554","105,085","92,993"
