School,Adjustment,Rank,Salary
Amherst,Unadjusted,Full,"155,833"
Bates,Unadjusted,Full,"134,487"
Bowdoin,Unadjusted,Full,"146,857"
Carleton,Unadjusted,Full,"141,305"
Claremont McKenna,Unadjusted,Full,"176,098"
Colby,Unadjusted,Full,"145,971"
Colgate,Unadjusted,Full,"151,654"
Davidson,Unadjusted,Full,"134,729"
Furman,Unadjusted,Full,"102,723"
Grinnell,Unadjusted,Full,"139,558"
Hamilton,Unadjusted,Full,"142,149"
Haverford,Unadjusted,Full,"131,176"
Macalester,Unadjusted,Full,"126,583"
Middlebury,Unadjusted,Full,"140,387"
Oberlin,Unadjusted,Full,"122,742"
Pomona,Unadjusted,Full,"160,491"
Swarthmore,Unadjusted,Full,"156,329"
Vassar,Unadjusted,Full,"142,788"
Washington and Lee,Unadjusted,Full,"143,853"
Wesleyan,Unadjusted,Full,"158,455"
Williams,Unadjusted,Full,"149,903"
Amherst,Unadjusted,Associate,"110,986"
Bates,Unadjusted,Associate,"105,217"
Bowdoin,Unadjusted,Associate,"113,680"
Carleton,Unadjusted,Associate,"107,210"
Claremont McKenna,Unadjusted,Associate,"128,042"
Colby,Unadjusted,Associate,"105,841"
Colgate,Unadjusted,Associate,"108,479"
Davidson,Unadjusted,Associate,"98,243"
Furman,Unadjusted,Associate,"82,983"
Grinnell,Unadjusted,Associate,"105,908"
Hamilton,Unadjusted,Associate,"108,150"
Haverford,Unadjusted,Associate,"101,031"
Macalester,Unadjusted,Associate,"95,133"
Middlebury,Unadjusted,Associate,"104,368"
Oberlin,Unadjusted,Associate,"94,994"
Pomona,Unadjusted,Associate,"120,016"
Swarthmore,Unadjusted,Associate,"111,489"
Vassar,Unadjusted,Associate,"111,493"
Washington and Lee,Unadjusted,Associate,"115,712"
Wesleyan,Unadjusted,Associate,"111,008"
Williams,Unadjusted,Associate,"106,040"
Amherst,Unadjusted,Assistant,"93,329"
Bates,Unadjusted,Assistant,"85,862"
Bowdoin,Unadjusted,Assistant,"91,352"
Carleton,Unadjusted,Assistant,"88,514"
Claremont McKenna,Unadjusted,Assistant,"108,670"
Colby,Unadjusted,Assistant,"88,084"
Colgate,Unadjusted,Assistant,"92,464"
Davidson,Unadjusted,Assistant,"79,877"
Furman,Unadjusted,Assistant,"70,364"
Grinnell,Unadjusted,Assistant,"87,727"
Hamilton,Unadjusted,Assistant,"88,383"
Haverford,Unadjusted,Assistant,"84,959"
Macalester,Unadjusted,Assistant,"79,775"
Middlebury,Unadjusted,Assistant,"90,234"
Oberlin,Unadjusted,Assistant,"72,109"
Pomona,Unadjusted,Assistant,"98,629"
Swarthmore,Unadjusted,Assistant,"87,690"
Vassar,Unadjusted,Assistant,"89,258"
Washington and Lee,Unadjusted,Assistant,"95,154"
Wesleyan,Unadjusted,Assistant,"91,207"
Williams,Unadjusted,Assistant,"93,837"
Amherst,COLA-Adjusted,Full,"142,275"
Bates,COLA-Adjusted,Full,"153,181"
Bowdoin,COLA-Adjusted,Full,"137,458"
Carleton,COLA-Adjusted,Full,"137,914"
Claremont McKenna,COLA-Adjusted,Full,"60,402"
Colby,COLA-Adjusted,Full,"177,063"
Colgate,COLA-Adjusted,Full,"175,008"
Davidson,COLA-Adjusted,Full,"112,095"
Furman,COLA-Adjusted,Full,"114,331"
Grinnell,COLA-Adjusted,Full,"168,586"
Hamilton,COLA-Adjusted,Full,"176,976"
Haverford,COLA-Adjusted,Full,"38,828"
Macalester,COLA-Adjusted,Full,"128,355"
Middlebury,COLA-Adjusted,Full,"144,318"
Oberlin,COLA-Adjusted,Full,"150,850"
Pomona,COLA-Adjusted,Full,"55,048"
Swarthmore,COLA-Adjusted,Full,"136,944"
Vassar,COLA-Adjusted,Full,"139,219"
Washington and Lee,COLA-Adjusted,Full,"164,424"
Wesleyan,COLA-Adjusted,Full,"154,335"
Williams,COLA-Adjusted,Full,"148,554"
Amherst,COLA-Adjusted,Associate,"101,330"
Bates,COLA-Adjusted,Associate,"119,842"
Bowdoin,COLA-Adjusted,Associate,"106,405"
Carleton,COLA-Adjusted,Associate,"104,637"
Claremont McKenna,COLA-Adjusted,Associate,"43,918"
Colby,COLA-Adjusted,Associate,"128,386"
Colgate,COLA-Adjusted,Associate,"125,185"
Davidson,COLA-Adjusted,Associate,"81,738"
Furman,COLA-Adjusted,Associate,"92,360"
Grinnell,COLA-Adjusted,Associate,"127,936"
Hamilton,COLA-Adjusted,Associate,"134,647"
Haverford,COLA-Adjusted,Associate,"29,905"
Macalester,COLA-Adjusted,Associate,"96,465"
Middlebury,COLA-Adjusted,Associate,"107,290"
Oberlin,COLA-Adjusted,Associate,"116,748"
Pomona,COLA-Adjusted,Associate,"41,166"
Swarthmore,COLA-Adjusted,Associate,"97,665"
Vassar,COLA-Adjusted,Associate,"108,706"
Washington and Lee,COLA-Adjusted,Associate,"132,259"
Wesleyan,COLA-Adjusted,Associate,"108,121"
Williams,COLA-Adjusted,Associate,"105,085"
Amherst,COLA-Adjusted,Assistant,"85,859"
Bates,COLA-Adjusted,Assistant,"85,862"
Bowdoin,COLA-Adjusted,Assistant,"85,506"
Carleton,COLA-Adjusted,Assistant,"86,389"
Claremont McKenna,COLA-Adjusted,Assistant,"37,274"
Colby,COLA-Adjusted,Assistant,"106,846"
Colgate,COLA-Adjusted,Assistant,"106,704"
Davidson,COLA-Adjusted,Assistant,"66,458"
Furman,COLA-Adjusted,Assistant,"78,315"
Grinnell,COLA-Adjusted,Assistant,"105,974"
Hamilton,COLA-Adjusted,Assistant,"110,037"
Haverford,COLA-Adjusted,Assistant,"25,148"
Macalester,COLA-Adjusted,Assistant,"80,892"
Middlebury,COLA-Adjusted,Assistant,"92,761"
Oberlin,COLA-Adjusted,Assistant,"88,623"
Pomona,COLA-Adjusted,Assistant,"33,830"
Swarthmore,COLA-Adjusted,Assistant,"76,816"
Vassar,COLA-Adjusted,Assistant,"87,026"
Washington and Lee,COLA-Adjusted,Assistant,"108,761"
Wesleyan,COLA-Adjusted,Assistant,"88,836"
Williams,COLA-Adjusted,Assistant,"92,993"
