Year,Average Salary,Tuition
1999,"95,737",34530.92
2000,"98,314",34709.53
2001,"96,442",35085.71
2002,"98,782",35865.25
2003,"101,582",36433.65
2004,"113,328",37227.52
2005,"113,030",37989.43
2006,"113,746",38762.60
2007,"118,543",39686.30
2008,"113,222",40244.37
2009,"114,616",42372.54
2010,"112,913",43539.11
2011,"112,874",44741.57
2012,"112,617",46002.15
2013,"117,099",47604.46
2014,"116,644",49608.28
2015,"118,719",51284.58
2016,"114,707",52166.15
2017,"113,941",52738.87
2018,"110,117",53025.40
2019,"105,279",53171.98
2020,"102,411",55000.00
