Year,Per Student,Per Faculty
1999,"263,645",2865407
2000,"299,489",3286554
2001,"279,635",3057709
2002,"254,972",2721907
2003,"234,006",2535564
2004,"265,269",2877665
2005,"300,691",3182789
2006,"325,006",3344353
2007,"366,847",3722155
2008,"367,679",3694509
2009,"261,756",2799021
2010,"293,928",3065999
2011,"336,524",3647750
2012,"321,218",3382234
2013,"350,912",3605927
2014,"401,326",3968424
2015,"417,840",4235375
2016,"397,496",3858931
2017,"426,074",4102099
2018,"459,572",4321379
2019,"485,760",4395766
2020,"456,812",4484445
